Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-12 15:28:28.000205]0;0;0;0;10;100;0;0;
[2023-12-12 15:28:36.000850]0;0;0;0;10;100;0;0;
[2023-12-12 15:32:20.000594]0;0;100;10;0;0;0;0;
[2023-12-12 15:35:00.000537]0;0;-86;100;0;0;0;0;
[2023-12-12 15:35:06.000455]0;0;-86;100;0;0;0;0;
[2023-12-13 14:48:40.000260]0;0;0;0;0;0;Torque;0;
[2023-12-13 15:09:54.000655]0;0;0;0;0;0;Torque;0;
[2023-12-13 15:09:58.000155]0;0;0;0;0;0;Torque;0;
[2023-12-13 15:11:57.000216]0;0;0;0;0;0;0;0;
[2023-12-13 15:12:08.000605]0;0;0;96;0;0;0;0;
[2023-12-13 15:12:21.000552]0;0;96;96;0;0;0;0;
[2023-12-13 15:39:38.000980]10;0;0;0;0;0;0;0;
[2023-12-13 15:39:57.000862]-86;0;0;0;0;0;0;0;
[2023-12-13 15:40:04.000045]100;0;0;0;0;0;0;0;
