Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-19 16:51:07.000460]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:08.000142]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:09.000720]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:10.000551]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:11.000043]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:18.000805]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:19.000661]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:21.000954]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:26.000976]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:27.000789]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:28.000489]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:28.000804]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:34.000076]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:37.000400]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:38.000573]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:51:41.000672]0;0;0;0;0;0;Speed;0;
[2023-12-19 16:51:42.000285]0;0;0;0;0;0;;0;
[2023-12-19 16:51:42.000650]0;0;0;0;0;0;;0;
[2023-12-19 16:51:43.000147]0;0;0;0;0;0;;0;
[2023-12-19 16:51:44.000579]0;0;0;0;0;0;;0;
[2023-12-19 16:51:45.000618]0;0;0;0;0;0;;0;
[2023-12-19 16:51:51.000100]0;0;0;0;0;0;;0;
[2023-12-19 16:51:53.000602]0;0;0;0;0;0;;0;
[2023-12-19 16:51:53.000915]0;0;0;0;0;0;Speed;0;
[2023-12-19 16:53:32.000087]0;0;100;100;16;16;0;0;
[2023-12-19 16:54:01.000097]0;0;0;0;0;0;Speed;0;
[2023-12-19 16:54:02.000718]0;0;0;0;0;0;;0;
[2023-12-19 16:54:03.000837]0;0;0;0;0;0;Speed;0;
[2023-12-19 16:54:05.000671]0;0;0;0;0;0;Torque;0;
[2023-12-19 16:54:40.000296]0;0;0;0;0;0;0;0;
[2023-12-19 16:54:49.000710]100;0;0;0;0;0;0;0;
[2023-12-19 16:55:02.000509]100;16;0;0;0;0;0;0;
