Timestamp;Corrente Reale (A);Frequenza calcolo RPM (HZ);Temperatura Motore (°C);Temperatura Inverter (°C);Corrente Batteria (A);Tensione Batteria (V);Modalita' di Controllo;Codice Fault
[2023-12-20 12:03:00.000973];0;0;0;0;0;0;Torque;0;
[2023-12-20 12:03:02.000123];0;0;0;0;0;0;Torque;0;
[2023-12-20 12:03:09.000400];0;0;0;0;0;0;Torque;0;
[2023-12-20 12:03:10.000374];0;0;0;0;0;0;Torque;0;
[2023-12-20 12:03:18.000424];0;0;0;0;0;0;Torque;0;
[2023-12-20 12:03:19.000206];0;0;0;0;0;0;Torque;0;
[2023-12-20 12:09:21.000946];0;0;0;0;0;0;Torque;0;
[2023-12-20 12:09:28.000234];0;0;0;0;0;0;Torque;0;
[2023-12-20 12:10:06.000628];0;0;0;80;0;0;0;0;
[2023-12-20 12:10:51.000922];0;0;16;80;80;32;0;0;
[2023-12-20 12:15:50.000053];0;0;0;0;0;0;Speed;0;
